label,words
WORKING,"working, after, fine, then, ago, had, update, again, until, work"
FIND,"find, could, old, here, any, new, time, every, found, everything"
OVER,"over, shuffle, same_songs, same, again, plays, hear, only, repeat, radio"
PLAYS,"plays, then, click, another, try, because, search, album, only, let"
ISSUES,"issues, fixed, having, issue, problems, problem, bugs, these, had, soon"
TIME,"time, crashes, load, sometimes, work, takes, open, slow, buggy, constantly"
ABOUT,"about, people, know, their, who, by, money, how, would, because"
EVERYTHING,"everything, else, find, every, something, about, anything, any, great, always"
WIFI,"wifi, internet, internet_connection, connection, offline, says, working, connected, fine, shows"
AD,"ad, minutes, after, every, then, more, mins, free, time, two"
PROBLEM,"problem, try, open, something, issue, again, any, whenever, wrong, after"
ONLY,"only, skip, skips, hour, shuffle, per, without, pay, hate, pick"
PHONE,"phone, uninstalled, still, uninstall, reinstalled, reinstall, again, nothing, working, install"
PAY,"pay, worth, free, money, paying, service, month, subscription, paid, time"
DOWNLOADED,"downloaded, download, offline, data, downloads, them, offline_mode, downloading, internet, phone"
BACK,"back, update, liked_songs, scroll, go, new_update, bring, through, old, shuffle"
EVER,"ever, best, best_music_app, best_music, worst, used, far, streaming, apps, out"
PODCAST,"podcast, back, podcasts, listening, episode, go, then, where, start, middle"
ABLE,"able, being, without, playlists, them, having, share, friends, make, great"
TOO,"too, many_ads, much, way, many, much_ads, many_adds, long, good_app, commercials"
STARS,"stars, would, give, because, star, rate, could, giving, only, five"
ITS,"its, m, s, why, going, know, because, idk, about, something"
PHONE,"phone, car, bluetooth, connect, devices, works, device, work, google, using"
WE,"we, our, add, download, us, should, option, could, would, make"
STOP,"stop, close, pause, randomly, stops, again, sometimes, keeps, force, restart"
SOME,"some, its, great, good_app, sometimes, annoying, pretty, great_app, overall, other"
U,"u, add, them, added, ur, annoying, adds, hate, adding, make"
YEARS,"years, had, using, never, used, since, any, over, problems, always"
JOE_ROGAN,"joe_rogan, support, platform, misinformation, their, because, podcast, podcasts, over, content"
ADD,"add, queue, would, option, album, playlists, feature, by, artist, only"
TRIED,"tried, reinstalling, nothing, work, phone, uninstalling, open, still, after, everything"
PODCASTS,"podcasts, podcast, video, them, watch, only, up, shows, joe_rogan, see"
LYRICS,"lyrics, some, feature, available, see, also, still, language, english, nice"
OUT,"out, log, back, account, logged, let, got, again, had, wrong"
UP,"up, day, keep, every, work, pop, love_spotify, listening, always, time"
EASY,"easy, great, podcasts, selection, great_app, excellent, great_music, sound, lots, awesome"
HOW,"how, why, out, up, know, back, go, because, make, keep"
THAN,"than, better, more, much, other, would, way, youtube, wish, pandora"
KEEPS,"keeps, every, crashing, out, getting, update, time, worse, keep, stopping"
USER,"user, more, friendly, features, android, ui, version, new, better, users"
PLAYLISTS,"playlists, artists, find, artist, also, how, make, easy, new, listening"
UPDATE,"update, pause, skip, latest, up, show, stop, bar, controls, player"
SUBSCRIPTION,"subscription, account, cancel, payment, month, pay, had, after, money, paying"
ADD,"add, back, feature, why, preview, adding, before, button, playlists, removed"
AFTER,"after, every, adds, ad, too, much, its, annoying, add, irritating"
RECOMMEND,"recommend, would, highly, without, amazing, definitely, best, download, worth, great_app"
OFF,"off, turn, phone, stop, screen, while, turned, background, still, down"
LISTENING,"listening, best, enjoy, favorite, thank, much, thanks, easy, amazing, good_app"
ACCOUNT,"account, log, email, password, login, out, link, logged, tried, says"
QUALITY,"quality, streaming, best, audio, better, best_music, sound_quality, sound, other, great"
